ttl	ip             	rtt (ms)
1	10.0.2.2	0.560840
6	200.89.161.133	18.468642
7	200.89.165.5	0.000000
8	200.89.165.250	0.000000
9	190.216.88.33	0.000000
10	67.17.94.249	130.050982
12	4.69.207.29	463.835756
13	4.68.127.54	0.000000
14	129.250.4.250	0.000000
15	129.250.2.219	24.558465
16	129.250.7.69	7.232769
17	129.250.3.123	0.000000
18	204.1.253.166	0.000000
19	202.158.194.172	124.647260
20	182.255.119.139	0.000000
21	210.7.39.251	1.020296
22	210.7.39.178	1.792566
