ttl	ip             	rtt (ms)
1	10.0.2.2	0.629298
6	200.89.161.133	16.038044
7	200.89.165.5	1.943064
8	200.89.165.250	0.000000
9	190.216.88.33	0.616527
10	67.17.94.249	127.331837
13	4.68.127.54	2.317301
14	129.250.4.250	0.000000
15	129.250.2.219	22.987564
16	129.250.7.69	9.046396
17	129.250.3.123	0.000000
18	204.1.253.166	0.418075
19	202.158.194.172	124.070581
20	182.255.119.139	0.000000
21	210.7.39.251	0.627025
22	210.7.39.178	3.025460
