ttl	ip             	rtt (ms)
1	10.0.2.2	0.528860
6	200.89.161.129	16.806849
7	200.89.165.5	0.000000
8	200.89.165.250	0.000000
9	195.22.220.102	0.000000
10	89.221.41.187	127.202972
11	89.221.41.187	18.804691
12	154.54.9.17	0.000000
13	154.54.80.41	1.316547
14	154.54.24.193	0.000000
15	154.54.7.157	10.469429
16	154.54.40.105	0.000000
17	154.54.30.186	71.965122
18	154.54.58.174	0.000000
19	154.54.56.242	0.000000
20	149.14.80.210	4.567504
21	196.32.209.174	173.459697
22	155.232.6.65	5.525049
23	155.232.6.37	21.044453
24	155.232.6.33	0.000000
25	155.232.6.142	0.000000
26	155.232.6.145	26.593033
27	155.232.6.138	0.000000
