ttl	ip             	rtt (ms)
1	10.0.2.2	0.665800
6	200.89.161.137	17.700442
7	200.89.165.5	0.000000
8	200.89.165.250	0.908128
9	190.216.88.33	0.000000
10	67.17.94.249	126.944876
13	212.187.139.166	101.025748
14	146.97.33.2	4.859662
15	146.97.37.194	0.000000
16	193.63.108.94	0.000000
17	193.63.108.98	0.000000
18	193.63.109.90	0.000000
20	192.76.32.66	2.383892
21	129.67.242.154	9.043884
