ttl	ip             	rtt (ms)
1	10.0.2.2	0.288908
6	200.89.161.137	20.870121
7	200.89.165.5	0.000000
8	200.89.165.250	0.688330
9	190.216.88.33	0.000000
10	67.17.94.249	125.268888
13	212.187.139.166	98.584533
14	146.97.33.2	0.000000
15	146.97.37.194	8.851266
16	193.63.108.94	0.000000
17	193.63.108.98	0.000000
18	193.63.109.90	0.000000
20	192.76.32.66	3.979341
21	129.67.242.155	0.000000
