ttl	ip             	rtt (ms)
1	10.0.2.2	0.611671
6	200.89.161.137	16.917245
7	200.89.165.5	0.000000
8	200.89.165.250	0.000000
9	190.216.88.33	0.909537
10	67.17.94.249	127.738951
13	212.187.139.166	85.505663
14	146.97.33.2	8.194562
15	146.97.37.194	1.627669
16	193.63.108.94	0.000000
17	193.63.108.98	1.244799
18	193.63.109.90	0.000000
20	192.76.32.66	4.569030
21	129.67.242.154	5.861719
