ttl	ip             	rtt (ms)
1	192.168.0.1	4.272649
6	200.89.161.149	16.102221
7	200.89.165.150	1.119804
9	209.85.251.84	2.353501
10	209.85.247.157	0.000000
11	172.217.28.46	0.000000
