ttl	ip             	rtt (ms)
1	192.168.0.1	3.412987
6	200.89.161.129	18.013667
7	200.89.165.130	0.000000
8	200.89.165.222	3.548813
9	190.216.88.33	3.956389
10	67.17.94.249	114.133739
12	4.69.158.245	121.688159
13	4.69.158.245	0.091942
14	213.242.110.198	2.174489
16	194.85.40.229	37.433267
17	194.190.254.118	0.000000
18	93.180.0.172	0.000000
19	188.44.33.10	3.390231
20	188.44.33.42	8.356088
21	188.44.50.103	0.000000
