IP             	RTT               	STANDARIZED RTT   	OUTLIERS
192.168.0.1	7.18203300000000	0.34874640653327	
200.89.161.129	19.27279700000000	0.07619386319040	[outlier]
200.89.165.130	0.00000000000000	0.51064530394970	
200.89.165.222	0.00000000000000	0.51064530394970	
195.22.220.102	0.00000000000000	0.51064530394970	
89.221.41.181	129.47064200000000	2.40790912034748	[outlier]
89.221.41.181	4.99841400000000	0.39797000498757	
154.54.9.17	5.88062600000000	0.37808299665893	
154.54.24.233	0.00000000000000	0.51064530394970	
154.54.24.197	20.25448500000000	0.05406444596175	[outlier]
154.54.24.221	0.00000000000000	0.51064530394970	
154.54.40.109	8.82480900000000	0.31171460466015	
154.54.42.86	85.42029900000000	1.41491702987451	[outlier]
154.54.58.186	0.00000000000000	0.51064530394970	
154.54.56.238	9.79619000000000	0.28981752999184	
149.14.80.210	0.00000000000000	0.51064530394970	
196.32.209.174	175.43111600000000	3.44395978529666	[outlier]
155.232.6.65	19.22342800000000	0.07730674956485	[outlier]
155.232.6.37	0.00000000000000	0.51064530394970	
155.232.6.33	8.37353900000000	0.32188722784875	
155.232.6.142	0.00000000000000	0.51064530394970	
155.232.6.145	26.88717000000000	0.09545093337590	[outlier]
155.232.6.130	0.00000000000000	0.51064530394970	
